p1,p2,count
Cao Cao,Cao Ren,2
Cao Hong,Cao Ren,2
Dong Zhuo,Gongsun Zan,2
Liu Bei,Zhang Fei,2
Dong Zhuo,Hua Xiong,2
Hu Zhen,Hua Xiong,2
Bao Xin,Sun Jian,2
Cheng Pu,Yuan Shao,2
Li Su,Sun Jian,2
Gongsun Zan,Guan Yu,2
Dong Zhuo,Zhang Fei,2
Cao Cao,Gongsun Zan,2
Li Ru,Yuan Wei,2
Guo Si,Li Ru,2
Li Jue,Li Ru,2
Kong Rong,Zhang Yang,2
Qiao Mao,Wang Kuang,2
Qiao Mao,Yuan Yi,2
Wang Kuang,Yuan Yi,2
Gongsun Zan,Lu Bu,2
Lu Bu,Zhang Fei,2
Liu Bei,Lu Bu,2
Yuan Shao,Zhang Fei,2
Cheng Pu,Yuan Shu,2
Cao Ren,Xiahou Dun,2
Cao Ren,Xiahou Yuan,2
Cai Mao,Kuai Liang,2
Kuai Yue,Sun Jian,2
Cheng Pu,Liu Biao,2
Tian Feng,Yuan Shao,2
Qu Yi,Wen Chou,2
Qu Yi,Yan Liang,2
Liu Bei,Zhao Zilong,2
Sun Jian,Sun Jing,2
Cheng Pu,Huang Zu,2
Kuai Liang,Yuan Shao,2
Li Su,Prime Minister,2
Li Su,Wang Yun,2
Dong Zhuo,Niu Fu,1
Fan Chou,Niu Fu,1
Guo Si,Niu Fu,1
Li Jue,Niu Fu,1
Niu Fu,Zhang Ji,1
He Jin,Lu Zhi,1
Chen Lin,He Jin,1
He Jin,Yuan Shu,1
Cao Jie,Hou Lan,1
Cao Cao,Empress He,1
Bao Xin,Chunyu Qiong,1
Chunyu Qiong,Wang Yun,1
Chunyu Qiong,Yuan Shao,1
Bao Xin,Dong Zhuo,1
He Jin,Li Ru,1
Ding Yuan,Li Ru,1
Cai Yong,Lu Zhi,1
The Emperor,Yuan Shao,1
Dong Zhuo,Empress He,1
Cai Yong,Li Ru,1
Cai Yong,Prime Minister,1
Lu Bu,Wu Fu,1
Cao Cao,Li Dian,1
Cao Cao,Yue Jing,1
Prime Minister,Sun Jian,1
Dong Zhuo,Hu Zhen,1
Hu Zhen,Li Su,1
Hua Xiong,Prime Minister,1
Cheng Pu,Hu Zhen,1
Cheng Pu,Hua Xiong,1
Hu Zhen,Sun Jian,1
Hu Zhen,Yuan Shao,1
Cao Cao,Liu Bei,1
Han Fu,Hua Xiong,1
Hua Xiong,Wen Chou,1
Hua Xiong,Yan Liang,1
Cao Cao,Guan Yu,1
Guan Yu,Hua Xiong,1
Hua Xiong,Zhang Fei,1
Hua Xiong,Li Ru,1
Prime Minister,Yuan Shao,1
Prime Minister,Yuan Wei,1
Yuan Shao,Yuan Wei,1
Fan Chou,Li Ru,1
Fan Chou,Yuan Wei,1
Guo Si,Yuan Wei,1
Li Jue,Yuan Wei,1
Li Ru,Zhang Ji,1
Lu Bu,Yuan Wei,1
Yuan Wei,Zhang Ji,1
Bao Xin,Cao Cao,1
Bao Xin,Gongsun Zan,1
Bao Xin,Kong Rong,1
Bao Xin,Qiao Mao,1
Bao Xin,Tao Qian,1
Bao Xin,Wang Kuang,1
Bao Xin,Yuan Yi,1
Bao Xin,Zhang Yang,1
Cao Cao,Kong Rong,1
Cao Cao,Qiao Mao,1
Cao Cao,Tao Qian,1
Cao Cao,Wang Kuang,1
Cao Cao,Yuan Yi,1
Cao Cao,Zhang Yang,1
Gongsun Zan,Kong Rong,1
Gongsun Zan,Qiao Mao,1
Gongsun Zan,Tao Qian,1
Gongsun Zan,Wang Kuang,1
Gongsun Zan,Yuan Yi,1
Gongsun Zan,Zhang Yang,1
Kong Rong,Qiao Mao,1
Kong Rong,Tao Qian,1
Kong Rong,Wang Kuang,1
Kong Rong,Yuan Yi,1
Qiao Mao,Tao Qian,1
Qiao Mao,Zhang Yang,1
Tao Qian,Wang Kuang,1
Tao Qian,Yuan Yi,1
Tao Qian,Zhang Yang,1
Wang Kuang,Zhang Yang,1
Yuan Yi,Zhang Yang,1
Lu Bu,Qiao Mao,1
Lu Bu,Yuan Yi,1
Kong Rong,Lu Bu,1
Lu Bu,Zhang Yang,1
Gongsun Zan,Zhang Fei,1
Guan Yu,Lu Bu,1
Sun Jian,Zhang Fei,1
Huang Gai,Yuan Shu,1
Li Jue,Sun Jian,1
Dong Zhuo,Xun Shuang,1
Dong Zhuo,Liu Bei,1
Liu Bei,Sun Jian,1
Cao Hong,Li Dian,1
Cao Hong,Xiahou Dun,1
Cao Hong,Xiahou Yuan,1
Cao Hong,Yue Jing,1
Cao Ren,Li Dian,1
Cao Ren,Yue Jing,1
Dong Zhuo,Xu Rong,1
Cao Cao,Guo Si,1
Cao Ren,Guo Si,1
Cao Ren,Li Ru,1
Cao Ren,Lu Bu,1
Guo Si,Xiahou Dun,1
Guo Si,Xiahou Yuan,1
Li Ru,Xiahou Dun,1
Li Ru,Xiahou Yuan,1
Lu Bu,Xiahou Dun,1
Lu Bu,Xiahou Yuan,1
Xiahou Yuan,Xu Rong,1
Sun Jian,The Emperor,1
Cheng Pu,Prime Minister,1
Cheng Pu,The Emperor,1
Prime Minister,The Emperor,1
Cheng Pu,Wen Chou,1
Cheng Pu,Yan Liang,1
Han Dang,Wen Chou,1
Han Dang,Yan Liang,1
Han Dang,Yuan Shao,1
Huang Gai,Wen Chou,1
Huang Gai,Yan Liang,1
Huang Gai,Yuan Shao,1
Sun Jian,Wen Chou,1
Sun Jian,Yan Liang,1
Liu Dai,Qiao Mao,1
Liu Dai,Yuan Shao,1
